Column1;Title;Price;Address;Suburb;Type;bedroom;bathroom;lat;lon;garage
344;11 Bed House in White River; 4 400 000;White River;White River;House;11;7;;;1
345;2.1 ha Farm in White River; 4 500 000;43 Paul Kruger Rd;White River;Farm;7;7;-25.326269999999965;31.022020000000055;
346;85 ha Farm in White River; 4 500 000;White River;White River;Farm;3;4;;;
347;4 Bed House in Likweti Bushveld Farm Estate; 4 700 000;White River;White River;House;4;4;;;2
348;5 Bed House in White River; 4 895 000;White River;White River;House;5;4;;;3
349;15.4 ha Farm in Hillsview; 5 000 000;1492 Starling Street;White River;Farm;5;3;-25.308077872297662;31.052014987143085;1
350;53 ha Farm in White River; 5 500 000;1 Tauton Estate;White River;Farm;;;-25.326269999999965;31.022020000000055;
351;5 Bed House in White River; 5 500 000;White River;White River;House;5;4;;;5
352;4 Bed House in White River; 5 880 000;White River;White River;House;4;4;;;1
353;4 Bed House in Likweti Bushveld Farm Estate; 6 700 000;White River;White River;House;4;4;;;2
354;14.8 ha Farm in White River; 7 660 000;249 Heidelberg;White River;Farm;5;4;-25.326269999999965;31.022020000000055;1
355;1 ha Farm in White River; 7 900 000;176 Brightside Aero Estate;White River;Farm;7;6;-25.326269999999965;31.022020000000055;3
356;1 ha Farm in White River; 7 900 000;176 Bright Side Aero Estate;White River;Farm;7;6;-25.326269999999965;31.022020000000055;3
357;1 ha Farm in White River; 7 900 000;179 Brightside;White River;Farm;6;5;-25.326269999999965;31.022020000000055;4
358;7 Bed House in White River; 7 900 000;White River;White River;House;7;7;;;4
359;8.8 ha Farm in White River; 7 999 000;Y1 Yaverland;White River;Farm;5;5;-25.317884965482115;31.057970091261893;
360;7 Bed House in White River; 8 500 000;White River;White River;House;7;8;;;4
361;12 Bed House in White River; 15 000 000;White River;White River;House;12;11;;;
362;874 m� Land available in White River; 415 000;White River;White River;Land;;;;;
363;899 m� Land available in White River; 500 000;White River;White River;Land;;;;;
364;2 Bed Apartment in White River; 730 000;White River;White River;Apartment;2;1;;;
365;4 Bed House in Kabokweni;;White River;White River;House;4;2;;;
366;6 Bed House in Kabokweni; 770 000;688 Kabokweni;White River;House;6;6;-25.326269999999965;31.022020000000055;
367;2 Bed Townhouse in White River; 770 000;56 Matsefeni;White River;Townhouse;2;2;-25.326269999999965;31.022020000000055;
368;2 Bed Apartment in White River Central; 850 000;White River;White River;Apartment;2;2;;;
369;4 Bed House in Kabokweni; 900 000;White River;White River;House;4;2;;;1
370;3 Bed House in White River; 967 500;White River;White River;House;3;2;;;1
371;1 ha Land available in White River; 997 700;White River;White River;Land;;;;;
372;9900 m� Land available in White River Central; 1 000 000;White River;White River;Land;;;;;
373;3 Bed Apartment in White River Central; 1 100 000;White River;White River;Apartment;3;2;;;
374;3 Bed Townhouse in White River; 1 210 000;White River;White River;Townhouse;3;1;;;
375;3 Bed Apartment in White River; 1 350 000;White River;White River;Apartment;3;2;;;
376;4.7 ha Land available in White River; 1 350 000;White River;White River;Land;;;;;
377;2 Bed Townhouse in White River Central; 1 390 000;White River;White River;Townhouse;2;1;;;1
378;3 Bed House in White River; 1 695 000;White River;White River;House;3;2;;;
379;4 Bed House in White River; 1 895 000;White River;White River;House;4;3;;;1
380;3 Bed Townhouse in White River Central; 2 395 000;White River;White River;Townhouse;3;2;;;2
381;Farm in White River; 2 495 000;White River;White River;Farm;6;4;;;2
382;5 Bed House in White River; 2 850 000;White River;White River;House;5;5;;;4
383;5587 m� Farm in Plaston; 3 830 000;White River;White River;Farm;3;2;;;2
384;8 Bed House in White River; 4 190 000;White River;White River;House;8;8;;;2
385;2 ha Farm in White River; 5 350 000;101 Plaston Road;White River;Farm;3;4;-25.365771816193988;31.001692258191216;2
386;10 Bed House in White River; 5 974 375;White River;White River;House;10;6;;;2
387;4 Bed House in Likweti Bushveld Farm Estate; 7 600 000;White River;White River;House;4;4;;;2
388;5 Bed House in White River; 8 650 000;White River;White River;House;5;3;;;3
389;8 Bed House in White River Central; 8 750 000;White River;White River;House;8;5;;;3
390;15.7 ha Farm in White River Central; 9 950 000;White River;White River;Farm;6;3;;;2
391;16 ha Farm in White River; 10 750 000;White River;White River;Farm;1;1;;;
392;45 ha Smallholding in White River; 12 500 000;White River;White River;Small Holding;;;;;
393;166 ha Farm in White River Central; 12 600 000;30 Hazy View Street 1;White River;Farm;;;-25.3410771605924;31.037960897405892;
394;3 Bed House in White River; 600 000;White River;White River;House;3;2;;;2
